user,software,device,network,action,resource,rischio
mario.rossi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,pazienti,23
anonymous,nmap,unknown,8.8.8.8,find,system_logs,79
hacker,nmap,unknown,1.2.3.4,find,config_db,90
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,update,pazienti,21
luigi.verdi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,insert,cartelle_cliniche,20
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,authenticate,utenti,22
alice.medico,e7afb57c_cert,tpm_enclave_88,192.168.1.50,update,utenti,10
alice.medico,chrome_115,tpm_enclave_88,192.168.1.50,authenticate,cartelle_cliniche,11
alice.medico,chrome_115,tpm_enclave_88,10.0.0.15,authenticate,cartelle_cliniche,16
hacker,curl_7.68,missing_tpm,93.44.12.1,drop,pazienti,84
mario.rossi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,insert,utenti,18
anonymous,nmap,missing_tpm,93.44.12.1,delete,config_db,72
alice.medico,chrome_115,tpm_enclave_88,10.0.0.15,find,utenti,9
luigi.verdi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,update,utenti,11
alice.medico,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,insert,pazienti,0
mario.rossi,e7afb57c_cert,tpm_enclave_88,10.0.0.15,find,pazienti,10
mario.rossi,curl_7.68,missing_tpm,1.2.3.4,find,system_logs,73
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,authenticate,pazienti,26
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,update,pazienti,18
luigi.verdi,chrome_115,tpm_enclave_88,192.168.1.50,insert,pazienti,23
luigi.verdi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,update,pazienti,22
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,update,pazienti,28
anonymous,nmap,missing_tpm,1.2.3.4,delete,config_db,91
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,find,cartelle_cliniche,15
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,update,cartelle_cliniche,20
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,authenticate,pazienti,22
mario.rossi,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,find,cartelle_cliniche,6
alice.medico,chrome_115,tpm_enclave_88,192.168.1.50,insert,cartelle_cliniche,20
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,update,cartelle_cliniche,22
luigi.verdi,chrome_115,tpm_enclave_88,10.0.0.15,insert,cartelle_cliniche,23
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,pazienti,10
anonymous,custom_python_script,missing_tpm,93.44.12.1,drop,config_db,97
mario.rossi,nmap,unknown,1.2.3.4,find,pazienti,98
luigi.verdi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,authenticate,utenti,5
anonymous,nmap,unknown,1.2.3.4,drop,pazienti,79
mario.rossi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,update,cartelle_cliniche,22
alice.medico,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,find,utenti,7
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,authenticate,cartelle_cliniche,10
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,update,utenti,6
luigi.verdi,chrome_115,tpm_enclave_88,192.168.1.50,update,pazienti,20
luigi.verdi,chrome_115,tpm_enclave_88,10.0.0.15,update,cartelle_cliniche,17
luigi.verdi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,find,cartelle_cliniche,2
alice.medico,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,authenticate,pazienti,15
alice.medico,chrome_115,tpm_enclave_88,192.168.1.50,insert,cartelle_cliniche,18
hacker,curl_7.68,unknown,1.2.3.4,delete,system_logs,70
mario.rossi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,find,pazienti,30
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,utenti,28
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,update,cartelle_cliniche,27
hacker,curl_7.68,missing_tpm,8.8.8.8,delete,system_logs,87
luigi.verdi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,update,utenti,11
luigi.verdi,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,find,cartelle_cliniche,21
alice.medico,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,find,cartelle_cliniche,6
mario.rossi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,authenticate,pazienti,30
anonymous,custom_python_script,missing_tpm,1.2.3.4,drop,pazienti,96
anonymous,nmap,unknown,1.2.3.4,delete,pazienti,81
alice.medico,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,update,cartelle_cliniche,25
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,authenticate,pazienti,23
mario.rossi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,find,cartelle_cliniche,26
admin,nmap,unknown,8.8.8.8,delete,pazienti,96
alice.medico,e7afb57c_cert,tpm_enclave_88,10.0.0.15,update,utenti,29
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,utenti,3
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,authenticate,pazienti,15
luigi.verdi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,authenticate,pazienti,21
mario.rossi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,find,cartelle_cliniche,0
luigi.verdi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,authenticate,utenti,25
luigi.verdi,e7afb57c_cert,tpm_enclave_88,10.0.0.15,authenticate,utenti,16
mario.rossi,chrome_115,tpm_enclave_88,10.0.0.15,authenticate,pazienti,20
mario.rossi,curl_7.68,unknown,8.8.8.8,drop,pazienti,91
mario.rossi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,cartelle_cliniche,24
alice.medico,e7afb57c_cert,tpm_enclave_88,10.0.0.15,insert,utenti,20
mario.rossi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,authenticate,pazienti,13
mario.rossi,curl_7.68,unknown,8.8.8.8,delete,pazienti,98
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,find,cartelle_cliniche,2
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,update,utenti,29
mario.rossi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,insert,utenti,22
alice.medico,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,cartelle_cliniche,27
mario.rossi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,pazienti,21
mario.rossi,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,update,cartelle_cliniche,26
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,cartelle_cliniche,6
luigi.verdi,chrome_115,tpm_enclave_88,10.0.0.15,update,pazienti,29
alice.medico,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,authenticate,utenti,22
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,update,utenti,11
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,utenti,6
alice.medico,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,cartelle_cliniche,16
alice.medico,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,update,cartelle_cliniche,19
luigi.verdi,chrome_115,tpm_enclave_88,10.0.0.15,find,cartelle_cliniche,8
mario.rossi,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,update,pazienti,16
hacker,custom_python_script,unknown,1.2.3.4,find,config_db,77
alice.medico,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,authenticate,pazienti,18
mario.rossi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,authenticate,utenti,1
mario.rossi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,insert,cartelle_cliniche,22
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,update,pazienti,2
admin,nmap,unknown,93.44.12.1,find,config_db,71
alice.medico,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,find,utenti,25
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,update,pazienti,16
luigi.verdi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,authenticate,utenti,20
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,find,pazienti,21
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,update,pazienti,20
hacker,curl_7.68,unknown,8.8.8.8,find,system_logs,99
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,authenticate,pazienti,21
alice.medico,chrome_115,tpm_enclave_88,10.0.0.15,find,utenti,26
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,update,cartelle_cliniche,8
alice.medico,e7afb57c_cert,tpm_enclave_88,10.0.0.15,insert,cartelle_cliniche,16
alice.medico,e7afb57c_cert,tpm_enclave_88,10.0.0.15,find,pazienti,12
alice.medico,e7afb57c_cert,tpm_enclave_88,192.168.1.50,update,cartelle_cliniche,22
anonymous,custom_python_script,unknown,93.44.12.1,find,pazienti,72
anonymous,custom_python_script,missing_tpm,93.44.12.1,find,config_db,82
hacker,custom_python_script,missing_tpm,93.44.12.1,delete,config_db,95
alice.medico,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,insert,pazienti,30
anonymous,custom_python_script,missing_tpm,1.2.3.4,drop,config_db,94
mario.rossi,chrome_115,tpm_enclave_88,10.0.0.15,update,cartelle_cliniche,13
anonymous,nmap,missing_tpm,93.44.12.1,drop,system_logs,98
alice.medico,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,find,pazienti,4
alice.medico,chrome_115,tpm_enclave_88,10.0.0.15,authenticate,utenti,28
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,find,cartelle_cliniche,19
luigi.verdi,chrome_115,tpm_enclave_88,10.0.0.15,insert,pazienti,1
mario.rossi,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,authenticate,cartelle_cliniche,14
alice.medico,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,find,pazienti,9
mario.rossi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,authenticate,pazienti,22
luigi.verdi,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,update,cartelle_cliniche,20
mario.rossi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,find,cartelle_cliniche,9
mario.rossi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,authenticate,utenti,12
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,find,pazienti,22
alice.medico,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,find,utenti,5
mario.rossi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,utenti,30
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,update,utenti,6
alice.medico,e7afb57c_cert,tpm_enclave_88,192.168.1.50,update,utenti,30
luigi.verdi,e7afb57c_cert,tpm_enclave_88,10.0.0.15,update,utenti,16
mario.rossi,chrome_115,tpm_enclave_88,10.0.0.15,authenticate,pazienti,4
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,find,utenti,23
hacker,nmap,unknown,1.2.3.4,find,config_db,75
mario.rossi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,update,pazienti,17
mario.rossi,chrome_115,tpm_enclave_88,192.168.1.50,find,cartelle_cliniche,23
alice.medico,chrome_115,tpm_enclave_88,10.0.0.15,authenticate,utenti,20
mario.rossi,e7afb57c_cert,tpm_enclave_88,10.0.0.15,insert,utenti,15
hacker,curl_7.68,missing_tpm,8.8.8.8,drop,pazienti,82
alice.medico,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,authenticate,utenti,4
mario.rossi,curl_7.68,missing_tpm,1.2.3.4,find,pazienti,86
alice.medico,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,pazienti,12
mario.rossi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,utenti,16
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,find,utenti,7
mario.rossi,custom_python_script,unknown,8.8.8.8,find,config_db,93
luigi.verdi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,authenticate,utenti,26
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,find,cartelle_cliniche,30
mario.rossi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,update,utenti,20
luigi.verdi,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,find,utenti,14
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,find,pazienti,22
admin,curl_7.68,missing_tpm,93.44.12.1,drop,pazienti,100
alice.medico,chrome_115,tpm_enclave_88,10.0.0.15,authenticate,utenti,16
mario.rossi,nmap,missing_tpm,8.8.8.8,find,system_logs,88
alice.medico,e7afb57c_cert,tpm_enclave_88,192.168.1.50,find,pazienti,29
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,authenticate,utenti,11
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,utenti,11
mario.rossi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,authenticate,pazienti,27
luigi.verdi,chrome_115,tpm_enclave_88,10.0.0.15,authenticate,pazienti,13
alice.medico,e7afb57c_cert,tpm_enclave_88,10.0.0.15,find,cartelle_cliniche,27
alice.medico,chrome_115,tpm_enclave_88,10.0.0.15,update,utenti,9
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,authenticate,cartelle_cliniche,4
mario.rossi,e7afb57c_cert,tpm_enclave_88,10.0.0.15,authenticate,pazienti,6
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,utenti,15
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,pazienti,19
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,update,pazienti,22
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,update,utenti,30
mario.rossi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,find,cartelle_cliniche,12
luigi.verdi,chrome_115,tpm_enclave_88,192.168.1.50,update,pazienti,10
alice.medico,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,cartelle_cliniche,21
luigi.verdi,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,insert,utenti,5
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,find,pazienti,30
alice.medico,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,find,cartelle_cliniche,10
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,pazienti,12
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,authenticate,cartelle_cliniche,1
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,update,pazienti,17
alice.medico,e7afb57c_cert,tpm_enclave_88,192.168.1.50,find,utenti,25
admin,curl_7.68,unknown,8.8.8.8,find,system_logs,77
alice.medico,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,authenticate,utenti,10
alice.medico,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,update,cartelle_cliniche,4
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,find,utenti,18
mario.rossi,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,authenticate,cartelle_cliniche,25
mario.rossi,chrome_115,tpm_enclave_88,192.168.1.50,find,cartelle_cliniche,20
mario.rossi,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,authenticate,cartelle_cliniche,17
mario.rossi,e7afb57c_cert,tpm_enclave_88,10.0.0.15,find,pazienti,6
alice.medico,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,utenti,1
luigi.verdi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,authenticate,cartelle_cliniche,18
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,update,cartelle_cliniche,21
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,authenticate,utenti,13
mario.rossi,chrome_115,tpm_enclave_88,10.0.0.15,update,cartelle_cliniche,5
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,find,cartelle_cliniche,29
anonymous,nmap,missing_tpm,93.44.12.1,find,pazienti,83
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,authenticate,pazienti,22
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,utenti,10
anonymous,custom_python_script,missing_tpm,93.44.12.1,delete,pazienti,74
alice.medico,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,update,cartelle_cliniche,25
alice.medico,e7afb57c_cert,tpm_enclave_88,10.0.0.15,find,cartelle_cliniche,7
mario.rossi,nmap,unknown,93.44.12.1,delete,pazienti,85
mario.rossi,custom_python_script,unknown,93.44.12.1,drop,config_db,100
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,pazienti,0
mario.rossi,nmap,unknown,8.8.8.8,find,system_logs,81
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,cartelle_cliniche,1
admin,curl_7.68,missing_tpm,1.2.3.4,delete,system_logs,100
mario.rossi,curl_7.68,unknown,1.2.3.4,drop,pazienti,80
mario.rossi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,authenticate,utenti,22
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,update,utenti,16
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,update,pazienti,5
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,update,pazienti,15
alice.medico,chrome_115,tpm_enclave_88,192.168.1.50,insert,cartelle_cliniche,1
hacker,nmap,unknown,8.8.8.8,drop,config_db,71
mario.rossi,custom_python_script,unknown,1.2.3.4,find,system_logs,78
mario.rossi,e7afb57c_cert,tpm_enclave_88,10.0.0.15,update,pazienti,23
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,authenticate,pazienti,2
alice.medico,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,utenti,15
alice.medico,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,update,pazienti,24
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,authenticate,cartelle_cliniche,8
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,update,utenti,27
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,update,pazienti,30
mario.rossi,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,authenticate,utenti,22
mario.rossi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,find,cartelle_cliniche,14
mario.rossi,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,insert,pazienti,21
mario.rossi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,authenticate,cartelle_cliniche,28
admin,nmap,unknown,93.44.12.1,delete,system_logs,90
alice.medico,e7afb57c_cert,tpm_enclave_88,192.168.1.50,authenticate,pazienti,24
mario.rossi,chrome_115,tpm_enclave_88,10.0.0.15,insert,utenti,15
admin,curl_7.68,unknown,93.44.12.1,delete,pazienti,73
admin,curl_7.68,unknown,1.2.3.4,find,system_logs,96
anonymous,nmap,missing_tpm,8.8.8.8,find,pazienti,92
mario.rossi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,find,cartelle_cliniche,5
mario.rossi,nmap,missing_tpm,93.44.12.1,find,pazienti,77
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,authenticate,cartelle_cliniche,2
alice.medico,chrome_115,tpm_enclave_88,10.0.0.15,authenticate,pazienti,16
admin,nmap,missing_tpm,1.2.3.4,drop,system_logs,93
mario.rossi,chrome_115,tpm_enclave_88,192.168.1.50,insert,utenti,7
luigi.verdi,e7afb57c_cert,tpm_enclave_88,10.0.0.15,update,utenti,10
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,update,cartelle_cliniche,11
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,find,utenti,19
alice.medico,e7afb57c_cert,tpm_enclave_88,192.168.1.50,find,cartelle_cliniche,28
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,authenticate,cartelle_cliniche,7
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,update,utenti,18
alice.medico,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,insert,cartelle_cliniche,16
luigi.verdi,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,authenticate,utenti,4
hacker,nmap,missing_tpm,93.44.12.1,find,system_logs,83
mario.rossi,chrome_115,tpm_enclave_88,192.168.1.50,find,cartelle_cliniche,10
mario.rossi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,authenticate,cartelle_cliniche,28
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,authenticate,utenti,20
alice.medico,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,insert,cartelle_cliniche,20
mario.rossi,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,authenticate,utenti,0
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,authenticate,utenti,6
admin,nmap,unknown,1.2.3.4,delete,system_logs,87
mario.rossi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,cartelle_cliniche,26
mario.rossi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,cartelle_cliniche,1
mario.rossi,curl_7.68,unknown,8.8.8.8,find,config_db,83
mario.rossi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,authenticate,pazienti,6
luigi.verdi,e7afb57c_cert,tpm_enclave_88,10.0.0.15,authenticate,cartelle_cliniche,6
luigi.verdi,chrome_115,tpm_enclave_88,192.168.1.50,insert,pazienti,16
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,update,pazienti,1
luigi.verdi,chrome_115,tpm_enclave_88,192.168.1.50,find,pazienti,10
luigi.verdi,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,update,pazienti,18
mario.rossi,chrome_115,tpm_enclave_88,10.0.0.15,authenticate,pazienti,21
alice.medico,chrome_115,tpm_enclave_88,10.0.0.15,insert,utenti,8
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,utenti,8
admin,custom_python_script,missing_tpm,8.8.8.8,find,config_db,88
alice.medico,chrome_115,tpm_enclave_88,192.168.1.50,authenticate,pazienti,25
luigi.verdi,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,authenticate,utenti,11
alice.medico,e7afb57c_cert,tpm_enclave_88,192.168.1.50,update,cartelle_cliniche,13
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,authenticate,pazienti,22
alice.medico,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,update,utenti,28
mario.rossi,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,update,cartelle_cliniche,2
alice.medico,e7afb57c_cert,tpm_enclave_88,10.0.0.15,authenticate,pazienti,12
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,authenticate,utenti,14
mario.rossi,chrome_115,tpm_enclave_88,192.168.1.50,update,pazienti,2
luigi.verdi,chrome_115,tpm_enclave_88,10.0.0.15,find,pazienti,3
alice.medico,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,update,utenti,4
admin,curl_7.68,unknown,93.44.12.1,find,pazienti,86
hacker,nmap,missing_tpm,1.2.3.4,delete,config_db,95
