user,software,device,network,action,resource,failed_logins,hour_of_day,is_night,session_freq,sensitivity_level,days_inactive,rischio
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,update,pazienti,0,12,0,6,2,0,14
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,find,cartelle_cliniche,0,17,0,7,3,0,17
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,pazienti,0,10,0,7,2,0,12
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,update,cartelle_cliniche,1,15,0,1,3,0,32
alice.medico,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,update,cartelle_cliniche,0,12,0,7,3,5,20
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,update,pazienti,0,16,0,9,2,7,11
mario.rossi,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,update,utenti,0,7,0,6,1,5,1
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,authenticate,cartelle_cliniche,0,15,0,7,3,3,19
alice.medico,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,authenticate,cartelle_cliniche,0,15,0,5,3,1,16
alice.medico,e7afb57c_cert,tpm_enclave_88,10.0.0.15,update,cartelle_cliniche,0,12,0,3,3,0,19
luigi.verdi,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,find,pazienti,1,14,0,1,2,0,18
admin,nmap,missing_tpm,93.44.12.1,drop,system_logs,3,3,1,30,2,30,100
alice.medico,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,pazienti,0,17,0,4,2,3,16
mario.rossi,nmap,missing_tpm,93.44.12.1,drop,config_db,10,0,1,15,3,60,100
luigi.verdi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,utenti,0,9,0,3,1,0,0
alice.medico,e7afb57c_cert,tpm_enclave_88,10.0.0.15,insert,cartelle_cliniche,1,9,0,4,3,0,30
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,update,utenti,0,7,0,4,1,0,0
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,pazienti,0,16,0,4,2,0,12
luigi.verdi,e7afb57c_cert,tpm_enclave_88,10.0.0.15,insert,cartelle_cliniche,0,16,0,10,3,3,20
mario.rossi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,find,cartelle_cliniche,0,15,0,1,3,1,15
luigi.verdi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,update,utenti,0,19,0,2,1,5,1
mario.rossi,e7afb57c_cert,tpm_enclave_88,10.0.0.15,update,utenti,0,16,0,1,1,0,0
mario.rossi,e7afb57c_cert,tpm_enclave_88,10.0.0.15,authenticate,cartelle_cliniche,0,9,0,4,3,0,21
mario.rossi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,update,pazienti,0,7,0,2,2,0,7
luigi.verdi,e7afb57c_cert,tpm_enclave_88,10.0.0.15,update,cartelle_cliniche,0,16,0,10,3,2,20
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,update,pazienti,2,16,0,3,2,1,28
mario.rossi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,authenticate,cartelle_cliniche,0,11,0,7,3,1,26
mario.rossi,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,update,cartelle_cliniche,0,11,0,6,3,0,23
luigi.verdi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,update,pazienti,0,13,0,7,2,0,15
mario.rossi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,pazienti,0,11,0,2,2,3,13
alice.medico,e7afb57c_cert,tpm_enclave_88,192.168.1.50,authenticate,pazienti,0,17,0,1,2,0,6
mario.rossi,e7afb57c_cert,tpm_enclave_88,10.0.0.15,insert,cartelle_cliniche,0,13,0,6,3,2,25
luigi.verdi,e7afb57c_cert,tpm_enclave_88,10.0.0.15,find,cartelle_cliniche,0,19,0,7,3,1,19
luigi.verdi,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,insert,pazienti,0,11,0,6,2,0,12
alice.medico,chrome_115,tpm_enclave_88,10.0.0.15,insert,pazienti,0,10,0,8,2,0,10
mario.rossi,chrome_115,tpm_enclave_88,192.168.1.50,authenticate,utenti,0,17,0,10,1,0,0
luigi.verdi,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,insert,cartelle_cliniche,1,13,0,4,3,0,28
luigi.verdi,e7afb57c_cert,tpm_enclave_88,10.0.0.15,find,pazienti,0,9,0,8,2,2,10
alice.medico,e7afb57c_cert,tpm_enclave_88,192.168.1.50,authenticate,cartelle_cliniche,0,14,0,4,3,1,16
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,utenti,0,13,0,5,1,0,3
mario.rossi,curl_7.68,missing_tpm,1.2.3.4,drop,config_db,3,2,1,30,3,30,100
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,cartelle_cliniche,0,7,0,10,3,7,18
hacker,nmap,missing_tpm,1.2.3.4,delete,system_logs,3,0,1,50,2,30,100
mario.rossi,curl_7.68,missing_tpm,1.2.3.4,find,pazienti,3,4,1,20,2,365,98
admin,curl_7.68,unknown,8.8.8.8,delete,config_db,5,2,1,30,3,180,100
admin,curl_7.68,unknown,8.8.8.8,find,pazienti,3,3,1,50,2,30,93
luigi.verdi,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,find,utenti,0,9,0,1,1,3,0
luigi.verdi,e7afb57c_cert,tpm_enclave_88,10.0.0.15,find,pazienti,0,19,0,10,2,0,9
luigi.verdi,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,insert,cartelle_cliniche,0,10,0,3,3,0,22
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,find,pazienti,0,11,0,10,2,2,11
luigi.verdi,chrome_115,tpm_enclave_88,192.168.1.50,insert,pazienti,0,9,0,8,2,0,10
luigi.verdi,e7afb57c_cert,tpm_enclave_88,10.0.0.15,authenticate,cartelle_cliniche,1,18,0,4,3,0,28
mario.rossi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,pazienti,0,15,0,4,2,3,14
alice.medico,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,find,pazienti,0,11,0,8,2,3,7
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,find,cartelle_cliniche,0,9,0,9,3,0,17
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,find,utenti,0,15,0,5,1,1,2
alice.medico,chrome_115,tpm_enclave_88,192.168.1.50,authenticate,cartelle_cliniche,0,10,0,6,3,3,23
mario.rossi,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,update,utenti,1,18,0,6,1,0,7
anonymous,curl_7.68,missing_tpm,1.2.3.4,drop,pazienti,7,0,1,30,2,90,100
mario.rossi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,insert,pazienti,0,14,0,9,2,5,15
alice.medico,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,update,pazienti,0,9,0,5,2,2,15
mario.rossi,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,find,cartelle_cliniche,0,15,0,4,3,0,20
anonymous,curl_7.68,missing_tpm,1.2.3.4,delete,pazienti,3,3,1,20,2,90,97
alice.medico,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,authenticate,utenti,1,17,0,4,1,1,15
alice.medico,chrome_115,tpm_enclave_88,192.168.1.50,authenticate,pazienti,0,7,0,1,2,0,10
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,cartelle_cliniche,2,14,0,8,3,0,37
luigi.verdi,chrome_115,tpm_enclave_88,192.168.1.50,authenticate,pazienti,0,13,0,4,2,0,11
luigi.verdi,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,find,utenti,1,11,0,4,1,7,6
mario.rossi,custom_python_script,missing_tpm,1.2.3.4,delete,system_logs,5,3,1,50,2,30,100
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,authenticate,cartelle_cliniche,0,11,0,4,3,1,20
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,authenticate,utenti,0,15,0,5,1,0,6
alice.medico,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,find,pazienti,1,13,0,8,2,7,14
admin,custom_python_script,missing_tpm,1.2.3.4,drop,pazienti,5,23,1,15,2,60,96
mario.rossi,chrome_115,tpm_enclave_88,192.168.1.50,authenticate,utenti,0,12,0,10,1,0,0
mario.rossi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,update,utenti,0,17,0,5,1,7,2
luigi.verdi,e7afb57c_cert,tpm_enclave_88,10.0.0.15,update,utenti,1,16,0,5,1,7,8
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,authenticate,utenti,0,12,0,10,1,0,0
anonymous,custom_python_script,unknown,1.2.3.4,drop,config_db,10,4,1,30,3,180,99
alice.medico,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,find,pazienti,0,9,0,7,2,0,9
mario.rossi,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,update,utenti,0,14,0,1,1,0,0
mario.rossi,chrome_115,tpm_enclave_88,10.0.0.15,find,utenti,0,11,0,9,1,0,2
luigi.verdi,e7afb57c_cert,tpm_enclave_88,10.0.0.15,insert,utenti,0,14,0,9,1,0,0
anonymous,custom_python_script,unknown,93.44.12.1,find,system_logs,5,2,1,15,2,60,100
mario.rossi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,update,pazienti,0,13,0,10,2,0,10
hacker,curl_7.68,unknown,8.8.8.8,drop,pazienti,3,0,1,30,2,180,99
alice.medico,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,authenticate,cartelle_cliniche,2,14,0,3,3,1,42
anonymous,nmap,unknown,1.2.3.4,delete,pazienti,3,5,1,30,2,180,95
alice.medico,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,authenticate,cartelle_cliniche,0,13,0,10,3,0,19
hacker,nmap,missing_tpm,8.8.8.8,find,system_logs,10,2,1,15,2,60,95
anonymous,curl_7.68,missing_tpm,1.2.3.4,find,config_db,5,3,1,20,3,180,100
mario.rossi,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,update,pazienti,0,8,0,8,2,1,10
alice.medico,chrome_115,tpm_enclave_88,192.168.1.50,find,cartelle_cliniche,0,12,0,1,3,0,22
mario.rossi,nmap,unknown,93.44.12.1,delete,config_db,5,1,1,15,3,180,100
alice.medico,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,pazienti,0,8,0,9,2,1,12
anonymous,nmap,missing_tpm,93.44.12.1,delete,pazienti,3,3,1,50,2,365,100
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,cartelle_cliniche,0,11,0,10,3,1,20
luigi.verdi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,update,cartelle_cliniche,1,19,0,5,3,0,29
alice.medico,e7afb57c_cert,tpm_enclave_88,10.0.0.15,insert,utenti,0,14,0,1,1,0,1
mario.rossi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,find,cartelle_cliniche,0,16,0,3,3,2,20
alice.medico,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,insert,pazienti,0,10,0,10,2,0,5
luigi.verdi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,authenticate,cartelle_cliniche,0,10,0,5,3,0,21
alice.medico,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,find,cartelle_cliniche,0,10,0,1,3,7,14
luigi.verdi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,find,cartelle_cliniche,0,11,0,7,3,0,19
mario.rossi,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,find,pazienti,0,8,0,2,2,0,7
mario.rossi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,find,pazienti,0,13,0,10,2,0,9
mario.rossi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,update,utenti,0,16,0,1,1,3,1
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,find,pazienti,2,11,0,4,2,1,32
mario.rossi,e7afb57c_cert,tpm_enclave_88,10.0.0.15,authenticate,utenti,0,14,0,8,1,0,0
alice.medico,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,find,cartelle_cliniche,0,11,0,5,3,0,23
admin,custom_python_script,missing_tpm,8.8.8.8,delete,system_logs,5,0,1,20,2,30,100
alice.medico,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,insert,cartelle_cliniche,0,12,0,9,3,1,20
luigi.verdi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,authenticate,pazienti,0,18,0,7,2,0,10
luigi.verdi,chrome_115,tpm_enclave_88,10.0.0.15,insert,pazienti,1,11,0,10,2,0,18
